iter	Passed	Remaining
958	32820	1403
959	32854	1368
960	32887	1334
961	32917	1300
962	32951	1266
963	32984	1231
964	33015	1197
965	33048	1163
966	33080	1128
967	33110	1094
968	33141	1060
969	33174	1026
970	33206	991
971	33239	957
972	33272	923
973	33303	888
974	33335	854
975	33366	820
976	33399	786
977	33434	752
978	33467	717
979	33499	683
980	33531	649
981	33563	615
982	33596	581
983	33628	546
984	33660	512
985	33692	478
986	33726	444
987	33758	410
988	33789	375
989	33822	341
990	33854	307
991	33887	273
992	33919	239
993	33952	204
994	33983	170
995	34013	136
996	34043	102
997	34076	68
998	34105	34
999	34139	0
